gugenesis111,1536.0688,7680.3440
gygenesis111,2580.9968,12904.9840
hagenesis111,10000.0066,50000.0330
hegenesis111,87129.6372,435648.1860
geyagenesis1,16823.5733,84117.8665
gq3agenesis1,20961.6925,104808.4625
gq4qgenesis1,1157.8557,5789.2785
gyyagenesis1,6136.8918,30684.4590
ha3qgenesis1,2021.4324,10107.1620
ha4agenesis1,8509.4671,42547.3355
ge2digenesis,1388.4504,6942.2520
ge3dmgenesis,1000.5425,5002.7125
giydggenesis,4639.7513,23198.7565
gizdogenesis,10078.5738,50392.8690
giztegenesis,1432.6267,7163.1335
gi3tggenesis,11044.9001,55224.5005
gi4tagenesis,28137.0502,140685.2510
gi4tkgenesis,2097.8836,10489.4180
gi4tmgenesis,4199.9808,20999.9040
gmydagenesis,2024.4926,10122.4630
gmydcgenesis,20000.3429,100001.7145
gmytegenesis,17487.1604,87435.8020
gmzdcgenesis,2009.0487,10045.2435
gm3dkgenesis,50400.2575,252001.2875
gqydmgenesis,4131.2865,20656.4325
gqzdagenesis,10359.5964,51797.9820
gqzdggenesis,1001.9742,5009.8710
gqzdqgenesis,2300.3365,11501.6825
gqztegenesis,8380.819,41904.0950
gq2tsgenesis,49565.1285,247825.6425
gq3tqgenesis,5223.4679,26117.3395
gu2dkgenesis,58000.0001,290000.0005
gu2tqgenesis,3192.4864,15962.4320
gu3togenesis,2144.1857,10720.9285
gu4tggenesis,7124.947,35624.7350
gyytsgenesis,1383.2991,6916.4955
gyzdggenesis,355181.0223,1775905.1115
gyztqgenesis,6135.8903,30679.4515
gy3dsgenesis,8321.4112,41607.0560
gy3tcgenesis,1352.5211,6762.6055
gy4tegenesis,2009.6122,10048.0610
g4ydegenesis,2442.8621,12214.3105
g4ytcgenesis,13283.5469,66417.7345
g4zdsgenesis,7431.6696,37158.3480
g4ztigenesis,69252.274,346261.3700
g44tagenesis,3521.8381,17609.1905
haydagenesis,20286.5001,101432.5005
haydigenesis,10075.0478,50375.2390
haydkgenesis,1191.5765,5957.8825
haydogenesis,11986.9249,59934.6245
haytggenesis,10686.1104,53430.5520
ha3tggenesis,4699.5401,23497.7005
heydsgenesis,4182.1799,20910.8995
heztmgenesis,1400.1645,7000.8225
he2tggenesis,5195.6743,25978.3715
he2tsgenesis,2204.0921,11020.4605
he3dcgenesis,11500.5408,57502.7040
he3digenesis,4308.4448,21542.2240
he3dmgenesis,3000.7851,15003.9255
he4tmgenesis,2515.6149,12578.0745
geydcmygenes,6687.834,33439.1700
geydemagenes,1496.869,7484.3450
geydioagenes,1000.1789,5000.8945
geydkmagenes,3122.3248,15611.6240
geydmmigenes,10004.8026,50024.0130
geydmoigenes,1004.1477,5020.7385
geytknqgenes,5424.0802,27120.4010
geytkoigenes,1127.7294,5638.6470
geytonagenes,1476.3167,7381.5835
gezdenigenes,2524.7516,12623.7580
gezdgmagenes,21898.1969,109490.9845
gezdgoigenes,1672.7041,8363.5205
gezdimqgenes,1000.0001,5000.0005
